gene,avg_bulk_CPM,hgnc_symbol
ENSG00000185787,264.8705111321678,MORF4L1
ENSG00000142156,264.7949779114531,COL6A1
ENSG00000101160,264.44787256669525,CTSZ
ENSG00000081320,263.9978176077539,STK17B
ENSG00000089220,263.5574900007181,PEBP1
ENSG00000170144,263.5397712683381,HNRNPA3
ENSG00000068976,263.45004076009207,PYGM
ENSG00000082074,263.0309836728097,FYB1
ENSG00000168685,262.4844858555898,IL7R
ENSG00000160593,261.48283998348086,JAML
ENSG00000116741,260.90539624963947,RGS2
ENSG00000170776,260.7822251068818,AKAP13
ENSG00000134250,260.6246478387904,NOTCH2
ENSG00000140678,260.0687825169658,ITGAX
ENSG00000188906,259.9467448065177,LRRK2
ENSG00000112308,259.54827110858986,C6orf62
ENSG00000115956,259.525274536999,PLEK
ENSG00000166825,259.0684986283659,ANPEP
ENSG00000057608,258.9847211522058,GDI2
ENSG00000127951,258.22628024591853,FGL2
ENSG00000169180,257.6548940882802,XPO6
ENSG00000122545,257.58809733832703,SEPTIN7
ENSG00000161203,257.47245652015744,AP2M1
ENSG00000166963,257.2930807627896,MAP1A
ENSG00000062716,257.1476990882579,VMP1
ENSG00000118503,256.81427216391614,TNFAIP3
ENSG00000112531,256.79902693954864,QKI
ENSG00000147140,256.3835102047043,NONO
ENSG00000078018,256.09749142042847,MAP2
ENSG00000167676,256.05114749782683,PLIN4
ENSG00000172809,256.02221136262096,RPL38
ENSG00000180354,255.66523840444745,MTURN
ENSG00000182944,255.48787104814977,EWSR1
ENSG00000261371,255.06222959979,PECAM1
ENSG00000084674,254.56495472708528,APOB
ENSG00000132465,254.4155987748324,JCHAIN
ENSG00000185650,253.95913560421633,ZFP36L1
ENSG00000253729,253.8797354704149,PRKDC
ENSG00000113013,253.71496304255712,HSPA9
ENSG00000044115,253.33487984706315,CTNNA1
ENSG00000198961,253.0071753913408,PJA2
ENSG00000134954,252.53088059899187,ETS1
ENSG00000099622,252.31643493052192,CIRBP
ENSG00000091513,251.9706610353356,TF
ENSG00000214548,251.8043987759106,MEG3
ENSG00000105048,250.49634893433003,TNNT1
ENSG00000077522,250.25913369447372,ACTN2
ENSG00000166888,250.171185959577,STAT6
ENSG00000165092,249.77522706918495,ALDH1A1
ENSG00000164733;ENSG00000285132,249.51507968906893,CTSB
ENSG00000128272,249.05050882029784,ATF4
ENSG00000117984,248.9212402368183,CTSD
ENSG00000060138,248.75582556352347,YBX3
ENSG00000145741,248.0181582655538,BTF3
ENSG00000162909,247.96739916828287,CAPN2
ENSG00000075785,247.92082654338435,RAB7A
ENSG00000143119,247.81537203971672,CD53
ENSG00000087274,247.81303185337276,ADD1
ENSG00000170759,247.57412203970756,KIF5B
ENSG00000107738,247.42250427382123,VSIR
ENSG00000110367,247.3428806109604,DDX6
ENSG00000168610,247.22936807453172,STAT3
ENSG00000059728,247.2096341635624,MXD1
ENSG00000173193,246.75651818964823,PARP14
ENSG00000180353,245.9531759242238,HCLS1
ENSG00000144028,245.79139211780964,SNRNP200
ENSG00000167004,245.18263652515637,PDIA3
ENSG00000059804,244.90035655676223,SLC2A3
ENSG00000130595,244.44199682985447,TNNT3
ENSG00000126777,244.39114561897864,KTN1
ENSG00000162734,244.2627999621319,PEA15
ENSG00000118680,244.01309666794987,MYL12B
ENSG00000092964,243.61890409522937,DPYSL2
ENSG00000129351,243.60836310199585,ILF3
ENSG00000167768,243.4161409543852,KRT1
ENSG00000101265,243.32820618507083,RASSF2
ENSG00000128340,243.2663896515469,RAC2
ENSG00000115268,243.0515482296479,RPS15
ENSG00000134352,242.8782141201273,IL6ST
ENSG00000163430,241.5788819829815,FSTL1
ENSG00000130985,241.34518114689533,UBA1
ENSG00000128591,241.20642191562004,FLNC
ENSG00000072110,240.9568037949214,ACTN1
ENSG00000071054,240.66226237205072,MAP4K4
ENSG00000136942,239.4952383816703,RPL35
ENSG00000128016,239.09237996824547,ZFP36
ENSG00000197629,238.79588417397963,MPEG1
ENSG00000124831,238.58149060594417,LRRFIP1
ENSG00000142669,238.2716244754959,SH3BGRL3
ENSG00000116679,238.20886819128083,IVNS1ABP
ENSG00000162704,237.62753842389395,ARPC5
ENSG00000196419,237.3258983073847,XRCC6
ENSG00000188229,237.2053085263867,TUBB4B
ENSG00000108424,237.06221956722,KPNB1
ENSG00000086061,236.91304316998796,DNAJA1
ENSG00000134308,236.90433822723085,YWHAQ
ENSG00000116251,235.63070002074863,RPL22
ENSG00000152818,235.61643586183715,UTRN
ENSG00000079308,235.44589556642904,TNS1
ENSG00000143669,235.09337285589152,LYST
ENSG00000082641,234.68470331297613,NFE2L1
ENSG00000092148,234.4489215966827,HECTD1
ENSG00000124126,234.19510036413436,PREX1
ENSG00000135677,234.1700885312536,GNS
ENSG00000196154,234.16003532626863,S100A4
ENSG00000196296,233.638330861944,ATP2A1
ENSG00000104408,233.37158897917564,EIF3E
ENSG00000131236,233.11896953959695,CAP1
ENSG00000089280,233.09343862015467,FUS
ENSG00000168530,232.40969997143665,MYL1
ENSG00000124486,232.0011799336045,USP9X
ENSG00000131143,230.96987953494423,COX4I1
ENSG00000028137,230.93605175076587,TNFRSF1B
ENSG00000100097,230.8562137294539,LGALS1
ENSG00000168066,230.6689208390692,SF1
ENSG00000213741,230.5705390249188,RPS29
ENSG00000197043,230.20683049377303,ANXA6
ENSG00000169554,230.0946308865931,ZEB2
ENSG00000107798,230.0595600882561,LIPA
ENSG00000048740,229.74397484119612,CELF2
ENSG00000157106,229.53663461757097,SMG1
ENSG00000135655,229.3894444125204,USP15
ENSG00000173020,229.2146401571498,GRK2
ENSG00000006125,228.8206103210504,AP2B1
ENSG00000091527,228.4132358939126,CDV3
ENSG00000114978,228.26213991990068,MOB1A
ENSG00000099204,228.1638533390168,ABLIM1
ENSG00000140105,228.12949428716172,WARS1
ENSG00000163660,227.28234378596437,CCNL1
ENSG00000077147,227.16614068416249,TM9SF3
ENSG00000107290,227.16187585542707,SETX
ENSG00000100030,227.0710757116356,MAPK1
