Gene_EntrezID,DE_Prior_Rank,gene_symbol
8638,0.978718965157521,OASL
3977,0.978666805758398,LIFR
2192,0.978614646359274,FBLN1
1634,0.97856248696015,DCN
25840,0.978510327561027,METTL7A
3280,0.978458168161903,HES1
11254,0.978406008762779,SLC6A14
932,0.978353849363655,MS4A3
28959,0.978301689964532,TMEM176B
11067,0.978249530565408,DEPP1
6590,0.978197371166284,SLPI
4239,0.978093052368037,MFAP4
4208,0.978093052368037,MEF2C
131,0.978093052368037,ADH7
22834,0.977962653870227,ZNF652
9023,0.977962653870227,CH25H
928,0.977884414771542,CD9
64231,0.977832255372418,MS4A6A
5788,0.977754016273732,PTPRC
3383,0.977754016273732,ICAM1
55026,0.977675777175047,TMEM255A
199675,0.977623617775923,MCEMP1
11098,0.977571458376799,PRSS23
894,0.977519298977676,CCND2
9966,0.977467139578552,TNFSF15
8743,0.977414980179428,TNFSF10
8519,0.977336741080743,IFITM1
5274,0.977336741080743,SERPINI1
563,0.977258501982057,AZGP1
771,0.977206342582933,CA12
2296,0.97715418318381,FOXC1
6318,0.977102023784686,SERPINB4
10894,0.977023784686,LYVE1
6781,0.977023784686,STC1
1956,0.976919465887753,EGFR
931,0.976919465887753,MS4A1
5744,0.976841226789067,PTHLH
2202,0.976789067389944,EFEMP1
55638,0.97673690799082,SYBU
4494,0.976658668892134,MT1F
4147,0.976658668892134,MATN2
7305,0.976580429793449,TYROBP
6440,0.976528270394325,SFTPC
55959,0.976476110995201,SULF2
83604,0.976423951596078,TMEM47
3604,0.976371792196954,TNFRSF9
92737,0.976293553098268,DNER
80183,0.976293553098268,RUBCNL
91624,0.976189234300021,NEXN
4257,0.976189234300021,MGST1
54845,0.976110995201335,ESRP1
2635,0.976058835802212,GBP3
2824,0.976006676403088,GPM6B
3855,0.975954517003964,KRT7
155038,0.975850198205717,GIMAP8
10154,0.975850198205717,PLXNC1
7832,0.975850198205717,BTG2
51339,0.975719799707907,DACT1
1728,0.975719799707907,NQO1
10085,0.975641560609222,EDIL3
3490,0.975589401210098,IGFBP7
6424,0.975511162111412,SFRP4
1114,0.975511162111412,CHGB
5067,0.975432923012727,CNTN3
64919,0.975380763613603,BCL11B
151887,0.975302524514918,CCDC80
4616,0.975302524514918,GADD45B
4316,0.975224285416232,MMP7
57451,0.975146046317546,TENM2
1903,0.975146046317546,S1PR3
3001,0.975067807218861,GZMA
84267,0.975015647819737,C9orf64
6414,0.974963488420613,SELENOP
1300,0.97491132902149,COL10A1
83879,0.974859169622366,CDCA7
79979,0.97478093052368,TRMT2B
1524,0.97478093052368,CX3CR1
2634,0.974702691424995,GBP2
25907,0.974624452326309,TMEM158
6515,0.974624452326309,SLC2A3
1580,0.974546213227624,CYP4B1
79191,0.974467974128938,IRX3
55273,0.974467974128938,TMEM100
658,0.974389735030253,BMPR1B
257194,0.974285416232005,NEGR1
84707,0.974285416232005,BEX2
9760,0.974285416232005,TOX
650,0.974181097433758,BMP2
388,0.974128938034634,RHOB
800,0.97407677863551,CALD1
51348,0.973972459837263,KLRF1
4232,0.973972459837263,MEST
2123,0.973972459837263,EVI2A
8835,0.973868141039015,SOCS2
6518,0.973815981639891,SLC2A5
6648,0.973763822240768,SOD2
1824,0.973711662841644,DSC2
58475,0.97365950344252,MS4A7
53831,0.973607344043397,GPR84
7422,0.973555184644273,VEGFA
28231,0.973503025245149,SLCO4A1
23643,0.973424786146464,LY96
8840,0.973424786146464,CCN4
4199,0.973346547047778,ME1
730,0.973294387648654,C7
26298,0.973216148549969,EHF
7076,0.973216148549969,TIMP1
3426,0.973137909451283,CFI
159296,0.973085750052159,NKX2-3
9358,0.973007510953474,ITGBL1
3428,0.973007510953474,IFI16
7345,0.972929271854788,UCHL1
8613,0.972851032756103,PLPP3
4072,0.972851032756103,EPCAM
2669,0.972772793657417,GEM
2034,0.972720634258293,EPAS1
1117,0.97266847485917,CHI3L2
79993,0.972590235760484,ELOVL7
716,0.972590235760484,C1S
4082,0.972485916962237,MARCKS
1290,0.972485916962237,COL5A2
54843,0.972381598163989,SYTL2
6664,0.972381598163989,SOX11
