#id: 1825491670
#name: H.sapiens - Whole organism (Integrated)
#score: 31.9
#coverage: 99
#description: integrated dataset: weighted average of all H.sapiens WHOLE_ORGANISM: 31.9, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#weights: Human_PeptideAtlas_2011-08_Ens62.new:0.747;9606-PA_201408:0.075;HsapiensBuild242_May2010.peptides.new:0.043;peptideatlaBuild_March2009.peptides.new:0.041;Human_iBAQ_Khan_2013:0.038;9606_GPM_201408:0.036;GPM_2012_09_Homo_sapiens_-_ensembl:0.02;
#publication_year: 2025
#filename: 9606-WHOLE_ORGANISM-integrated.txt
#
#gene_name	string_external_id	abundance
RPS2	9606.ENSP00000341885	261
RAB11A	9606.ENSP00000261890	260
PSMB4	9606.ENSP00000290541	260
BASP1	9606.ENSP00000319281	260
PGK2	9606.ENSP00000305995	260
IGHV3-16	9606.ENSP00000478725	260
IGHV3OR16-9	9606.ENSP00000475107	259
TUBA4B	9606.ENSP00000487719	259
PROS1	9606.ENSP00000377783	255
GNAI2	9606.ENSP00000312999	253
PTMA	9606.ENSP00000344547	253
SOD2	9606.ENSP00000446252	252
ABRACL	9606.ENSP00000356632	252
TUBB6	9606.ENSP00000318697	251
SNCA	9606.ENSP00000500990	250
STIP1	9606.ENSP00000351646	249
HSD17B10	9606.ENSP00000168216	248
PSMA6	9606.ENSP00000261479	247
CYB5B	9606.ENSP00000308430	247
RPL36	9606.ENSP00000464342	245
ATP5PD	9606.ENSP00000301587	245
ANXA11	9606.ENSP00000398610	245
HNRNPA1L2	9606.ENSP00000350090	244
GANAB	9606.ENSP00000340466	243
KRT5	9606.ENSP00000252242	242
S100A4	9606.ENSP00000357704	241
PLGLB1	9606.ENSP00000347933	241
PLGLB2	9606.ENSP00000352458	241
PSMA4	9606.ENSP00000044462	241
RPL13A	9606.ENSP00000375730	241
IGFBP4	9606.ENSP00000269593	239
PCBP1	9606.ENSP00000305556	238
EEF1G	9606.ENSP00000331901	238
RPS15A	9606.ENSP00000318646	237
HNRNPAB	9606.ENSP00000425031	237
C1QC	9606.ENSP00000363770	236
YBX1	9606.ENSP00000361626	236
RPL11	9606.ENSP00000496250	236
C2	9606.ENSP00000299367	235
COX6C	9606.ENSP00000429707	235
RPL8	9606.ENSP00000262584	233
DEFA1B	9606.ENSP00000372136	233
DEFA1	9606.ENSP00000372139	233
DEFA3	9606.ENSP00000328359	233
