gene_symbol,gc_content
AK3,0.4146454075350899
AK4,0.4261616842204806
AK5,0.39611006375293223
AK7,0.44178828365878725
AK8,0.4793733681462141
AK9,0.38266713046283835
AKAIN1,0.3925228509149525
AKAP1,0.4996276375672321
AKAP10,0.41257664568758273
AKAP11,0.3644883584425748
AKAP12,0.4386768190365367
AKAP13,0.3991670010954803
AKAP14,0.4685289389067524
AKAP17BP,0.40663302090843545
AKAP3,0.3899057953732411
AKAP4,0.41491545303489397
AKAP5,0.3754580788450861
AKAP6,0.37918357471768555
AKAP7,0.3827674935334202
AKAP8,0.5324051303393742
AKAP8L,0.488591016064668
AKAP9,0.3672939458530094
AKIP1,0.46422982338475294
AKIRIN1,0.43797348484848486
AKIRIN2,0.4079053116095565
AKNA,0.5074905202958911
AKNAD1,0.41106601529945047
AKR1A1,0.4909519659609371
AKR1B1,0.5003839565243074
AKR1B10,0.45406615629062547
AKR1B15,0.45524280049405186
AKR1C1,0.38500324497029603
AKR1C2,0.38989324784347423
AKR1C3,0.40404794492140517
AKR1C4,0.38489377102226763
AKR1C6P,0.40677459526774595
AKR1C8,0.38450141716052566
AKR1D1,0.39260402476246314
AKR1E2,0.425936777680112
AKR7A2,0.5286063569682151
AKR7A3,0.5424330429170701
AKR7L,0.5223426275417021
AKT1,0.6408362686058402
AKT1S1,0.596690357483823
AKT2,0.5361101050344078
AKTIP,0.45453185761292253
ALAD,0.5136524467587956
ALAS1,0.45474695234577023
ALAS2,0.4312822150253159
ALB,0.34859862940621283
ALCAM,0.3528991580631643
ALDH16A1,0.5683832604061483
ALDH18A1,0.4315061747848181
ALDH1A1,0.36054557995683423
ALDH1A2,0.40917404753213316
ALDH1A2-AS1,0.4899467262416223
ALDH1A3,0.4880631151543186
ALDH1A3-AS1,0.4830123109911642
ALDH1B1,0.5132550335570469
ALDH1L1,0.4741986381879216
ALDH1L1-AS1,0.5792325056433408
ALDH1L1-AS2,0.4466476556800849
ALDH1L2,0.4007511950830867
ALDH2,0.4943041654227488
ALDH3A1,0.5782846715328467
ALDH3A2,0.4508704318936877
ALDH3B1,0.5840135233035498
ALDH3B2,0.5257802255441909
ALDH4A1,0.550439367311072
ALDH5A1,0.4310006849153303
ALDH6A1,0.4340953483324893
ALDH7A1,0.4303882299767779
ALDH8A1,0.42526663203251536
ALDH9A1,0.4014636696288552
ALDOA,0.5933053040103493
ALDOB,0.4095172650747294
ALDOC,0.5555555555555556
ALG1,0.49297566268215576
ALG10,0.35907015359070155
ALG10B,0.3373456790123457
ALG11,0.4101762364980102
ALG12,0.556507413509061
ALG13,0.37509885173820895
ALG14,0.40494383390666383
ALG14-AS1,0.3853781512605042
