,dim1
SLC30A8,0.0009391799301015209
ELL2,0.0037920450373902462
CPEB4,0.0087666331430249
PATE1,-0.007144960825187515
NDRG2,0.004061013522000812
ALDH1L2,0.004581171834206753
PKN3,-0.003890429751698918
MRPL2,-0.0014281639871591486
C10orf67,-0.0069997459282199505
CANX,0.007686502018167209
PRXL2A,0.00368210769647088
RNF165,0.003017163810824203
CCNE2,-0.002713185365034712
CCR4,-0.0032722043444329395
CYP26A1,-0.0018424265505193975
RAD52,-0.0028995705384899846
IFT140,0.007980534268061718
EQTN,-0.009501690477677306
HSP90AB1,0.012995852394033872
GLDC,0.0035008768695952435
KRTAP12-3,0.0011039116525260013
APLP1,0.00011274595771788203
OAS3,-0.004406739066361558
CALHM4,-0.007693737221440914
MGAT1,0.0004128456844367799
CEP83,0.002665588576213202
SLC5A8,0.004717301841781252
SPINT1,-0.0035623859519023685
FBXL15,-0.0021645130569007535
HBB,0.005453842264867908
OR9G1,-0.0012555944527077756
PBX4,0.0001947011662032697
SEMA7A,-0.006764164938035715
PLAAT4,0.00014699293118130424
STK36,-0.0019673231115307816
P2RY2,-0.005234528904506742
MAPK14,0.013277240106755265
ANK1,0.02765746180898936
SLC25A27,0.008271737349987795
TRBV18,-0.0043337275006683626
ZMYM5,-0.0006401636704535201
FARSA,0.003300702292104595
FBXW7,0.009665667086653567
FAM98B,-0.0015223375565518327
COL17A1,-0.0021908460018277044
SEMA5A,0.005395601614582815
KIF3B,0.007197347177510325
IGKV3-15,-9.802544219422457e-05
BBS12,-0.006917590543666149
CTU1,-0.00476006572655589
EBI3,-0.006032988798059979
AMPH,0.007864069740462934
ARFIP2,0.00039684387130979924
DIXDC1,0.005055690311798778
TANK,-0.0012273034537295887
MCMDC2,-0.0047517123478633275
PTPN1,0.005715137128793472
NUP214,0.013693928693431959
IGHV1-45,0.0015135497884006526
KLF10,-0.004239891085050749
LGALS9C,-0.004096931226776215
SLN,-0.0042098033802207314
TTC4,-0.0027931712879083483
PPP2R1A,0.01021656353339955
MYO18B,0.01631601791229202
SYNJ2BP,0.0009098527003812768
TMEM117,0.006302999228608913
YIF1A,0.0027004839493040517
FRG2,-0.003857570349764665
MSTO1,-0.005989732339076143
CLPTM1,0.004126612694963492
CHST1,-0.0019677348698500553
MED10,0.008146095606253895
OR5M1,0.00024845062628939604
OSBPL5,0.001369547370536494
C1QTNF5,-0.003402765915039716
C4BPA,-0.004432232173735113
NFIX,0.007907922061309225
S100A6,0.007382552649353997
TBR1,0.0002197931297470782
GRM5,0.010166212912559133
TOB1,0.0035254948678057375
TXNRD3,-0.0007434666538343963
SLC38A4,-0.00033595481120276784
MAP1S,-0.003960410828954265
ZDHHC6,-0.0016409767887142848
IL17RA,-0.00724999067073986
NLRP13,-0.010434941731202926
TENM3,0.034277093041098154
FAM90A1,-0.01291581983994724
HOXB5,-0.00044094684696125856
PCDHGA6,-0.0014897653901372217
IGHV3-20,0.00033040500209950333
UBXN11,-0.005955213547362464
OR1G1,0.0013816446885126343
PCED1A,-0.0071786350358599635
C11orf68,-0.006096085571657898
ITGBL1,-0.0005962011367385478
OR10T2,-0.0017767804524625394
C2orf74,-0.007327208724583149
TRAV40,-0.0012618788419990323
KCNE1,-0.004104967260679176
SLCO4C1,-0.0014160393163957074
HS3ST5,0.002922870543972443
TMEM230,0.0053850974271378825
COL27A1,-0.0010785756510912723
PPP1R13B,0.00868834431474871
ZG16B,-0.005323031904814292
COQ4,0.0025206762775714193
PRKRIP1,0.006005351148439073
SLC44A5,0.00747055098225054
PNPT1,0.006919107995096731
MYCN,-0.0049441718293126895
CLEC18B,-0.005445223168086281
SLC39A1,-0.0029851844209732264
SUGP2,0.0007064125252061485
WNT4,-9.593285054472359e-05
ZNF35,-0.008176199220844607
CALML3,0.0009506068083196885
ZSWIM7,0.0011190830082884356
ISM1,-0.005930939488991161
WDFY2,0.009111973317302369
ACYP2,0.01112824512623064
SPRY1,-0.0031196674333897703
CARD19,-0.006198634159911669
SON,0.02116886090333187
HYAL2,-0.0031694873012801726
ZNF197,-0.0019013258643195195
AAMP,0.0002115444594797431
SLC37A3,0.003737866813497505
HES1,0.0026026414909783575
FAM76A,0.004199771564631637
LIPT1,-0.005013324947258784
REL,-0.0008045620030456517
SCAMP1,0.00922728081909353
SCN3A,0.03328331104738983
SCN4A,0.020619165536333698
SRSF3,0.0062092862575991205
PLEKHA4,-0.007991283438983534
CEBPZOS,0.0009806772579721394
MORN5,-0.0016427949193352088
SAA4,-0.0038490293162131203
LCN2,-0.0007133552430417645
GIPC3,-0.002918740820247562
NEFL,0.005795688453391558
ROBO2,0.011742359443783488
SHE,-0.007373702463102874
SVEP1,0.026580960062861453
FAM89B,-0.005340698470859252
TRBV27,-0.002236368029373279
CECR2,-0.0018749029552971757
ZFP57,-0.011096925103276133
BVES,-0.0030517410559467665
TPBG,-0.003571940403351001
RPP25L,-0.0051020495707913135
KCNE3,-0.004814300437679591
BCAP29,0.008809586569031603
ZDHHC24,-0.005449407132888277
TRGV9,-0.004067550163364572
PIRT,-0.005960936248130252
GEN1,-0.005875221951703185
GPR65,-0.00205478382581323
FBXO22,0.002308945045220427
PHF5A,0.0038009096449268254
CABLES2,-0.007362918976390375
CAPZA1,0.011699880330657489
SLBP,-0.0015400582831008724
RAB38,0.004888822466052871
HEATR3,-0.0009685968767029492
TNFRSF14,-0.007277586876685079
LNPEP,0.006925951275352272
RNF187,-0.005718546854338264
NUDCD2,0.001853379406102711
ANKRD26,0.012739140962055666
GALT,0.0012079001023044887
RMC1,-0.00018681385000449778
ARPP19,0.007315160740771998
NOS1AP,0.006344163407438989
CAPNS1,0.004505498566850111
F10,-0.0022358957776310324
SIRT6,-0.001245402534125031
CDH26,-0.005997532880429197
EFCAB3,-0.006380094677099251
DNAJC8,0.006508632071035739
ERRFI1,-0.002710068015702441
ESS2,-0.0050497499605866025
ACTL8,-0.007381899712975027
ZNF143,-0.0016378805668414188
BTN3A3,-0.007627987470888016
TNFSF14,-0.005894904139577974
BHMT,0.003943849367304307
NOL3,-0.009120814007905771
OAZ2,-0.0015557603934815082
ZC3H11A,-0.0008458728794894966
HSD3B1,-0.003130969071085687
MAP3K10,-0.004026748552220569
MS4A18,-0.00959172354423148
SMCO2,-0.010517975937361312
SP7,-0.006530745803125509
ZNF581,-0.006565231097714379
PTPRG,0.01174607743161009
PARVA,0.0070467073045214984
NAGPA,-0.0010230464417336773
DOCK10,0.026523888830082564
ZNF277,0.0030857276347529433
ARHGAP22,0.002553219541680351
RPRD1A,0.011373343601553126
CCDC107,-0.008170951815142803
NOA1,-0.005451897145904005
KCNG4,-0.004554078333986847
STAC3,-0.003617067671833594
INSYN2B,-0.0030745472651810325
HSD17B8,-0.001969546891145839
NIPAL3,0.002267651202420212
REPS1,0.006549000905591916
RPLP1,0.007819783520591645
CD14,-0.004419264736661303
IRX5,-0.003648444875973558
BBC3,-0.009180905173007467
CACNG2,0.006966354147023591
DEFB131A,-0.008777564983993302
ANKRD33B,-0.001402030516293267
NUDT4B,-0.003584656256325345
ACY3,-0.0010879157531786393
PPP2R2B,0.01429621579305914
TRBV7-4,-0.006058008044518522
PYCR3,-0.0033818977094781932
NAGK,0.002117450891995966
ZNF805,-0.006186707878287345
RNF7,0.0056610779355684045
PLEKHM3,0.0033256020169604096
CPLANE2,-0.005210636347700095
BAHD1,-0.010226932715555997
TUBA3D,0.0025975118681845653
PIGU,0.005218448507730082
TBC1D3B,-0.011752058213980676
DNAAF4,0.002013762946589014
POLR2L,0.006605973776560008
TEDC2,-0.011447597818405634
CD69,-0.0034024713013535318
CTAGE1,-0.008050027944189951
CD300H,-0.004766076288998174
GIMAP5,-0.005553924483812146
OVCA2,-0.0045591102000094655
RAB11B,0.006903752417414341
LFNG,-0.004599512804630425
REPIN1,-0.006728248104613231
GABRR3,-0.0010934623193848858
TBCC,-0.0032807484005176846
TSPAN14,0.006159734403183205
ALKBH6,-0.002391471434671866
ARL17A,-0.007689372848064283
ITGB3,0.0008960811916123651
SBNO1,0.013869254240125148
PLS1,0.005462578426768223
SAP30L,-0.0018036163763999
PIN1,0.006873068757284176
LTB4R2,-0.008711935406115803
MRPS28,-0.002578070319736937
RNFT1,-0.004315577574859847
UGT2B11,-0.0005899365065601703
DENND2A,-1.981070135058744e-05
ERMARD,-0.005578083538356246
ZNF680,0.00046881082818226285
DCTN5,0.005965208829006909
TNFAIP1,0.0023642845984421235
DIP2C,0.02202444354922402
RAB3C,0.012058909418877611
MYLPF,0.004584835884449661
MYOM2,0.010621742475805857
POU5F1,-0.005186375455108915
HMHB1,-0.008269376871433542
SLC43A1,-0.0007581715845872465
CLOCK,0.006664190384025412
TSSK6,-0.004590705452381321
C3orf85,-0.00526560143782247
