Gene,MF.score
TRPM6,2.5000725950282355e-5
SLC30A7,6.357141602755368e-5
SLC30A8,5.9134107837799244e-5
SLC39A11,2.877116073011882e-5
SLC39A12,3.421102179244573e-5
MCOLN2,1.0690666872279466e-4
STEAP2,1.7480236110849515e-4
SLC39A5,5.2262549643021325e-5
SLC46A3,4.814481346816011e-5
SCARA5,6.228961667430582e-5
HEPHL1,2.593906972819278e-5
REP15,9.88815304906613e-6
FTH1P19,9.594201104075272e-6
MIR210,3.7442429120969513e-4
ATM,3.780157016202136e-4
ATP2A2,3.2836414060121425e-4
LRBA,6.682956870406415e-6
CTSD,6.139320035926603e-5
EFNB1,2.1087530083684266e-5
EPHB2,3.100282576099218e-4
MTOR,5.326662084029115e-4
MTM1,9.182969021900739e-5
PIK3C3,1.3629952972527422e-4
PIP4K2A,9.42809824035195e-5
PSEN1,4.062768596921197e-4
RAB1A,4.3791672766892524e-5
RAB5A,8.697773884343875e-5
RALB,2.1778428714826334e-4
RNF5,2.478627446353307e-5
TRAF6,1.8555403055992798e-4
RAB7A,2.7710364128032686e-4
EPM2A,1.7492396360998738e-4
IFT88,4.501637147714801e-5
PIP4K2B,7.818568210423163e-5
ULK1,9.310273475144219e-5
BECN1,3.0308547314369087e-4
SNX4,1.1527413027619281e-4
MTMR3,7.61881027944806e-5
STBD1,6.146849778544858e-5
ATG12,1.2247402752621418e-4
AP4M1,5.536495185235864e-5
RAB33A,5.895148593303222e-6
ATG5,3.2275721044858284e-4
SEC22B,1.7567496091841492e-5
FEZ2,1.2634835962712098e-5
FEZ1,1.4313428853808283e-4
ULK2,8.79932266212824e-5
ATG13,5.121682597713123e-5
RB1CC1,8.756536863378884e-5
AP5Z1,3.313723260236318e-5
MFN2,5.037812793519806e-5
TOM1,7.887731752650376e-5
TCIRG1,2.3842753695092097e-4
ATG7,1.482160932081467e-4
EHMT2,1.1129454917869149e-4
WDR45,6.252290019696845e-5
CHEK2,1.0569848188917981e-4
GABARAP,8.124904675110957e-5
GABARAPL2,3.114493056382325e-5
ATG14,1.737097897229351e-4
RAB3GAP1,2.0211998683239852e-4
TRIM32,3.874897866712852e-4
ATG2A,6.53347228982287e-5
ATG4B,1.1061324260969647e-4
TBC1D12,5.171579073856846e-6
PACS2,1.570747760987157e-5
SCFD1,2.384127608443094e-5
ARFIP2,3.8290021103216655e-5
STX12,2.8614352399491797e-5
GABARAPL1,3.905449495677158e-5
GABARAPL3,2.0477096832562565e-5
RAB3GAP2,8.299557592840917e-5
ULK3,3.176572869008727e-5
WIPI2,5.9814579122749424e-5
NUPR1,1.5491685290445318e-4
UBQLN2,8.333562407092699e-5
UBQLN1,1.2132564695302919e-4
SH3GLB1,1.1525580469127353e-4
SNX7,2.4014449340535508e-5
RAB23,2.824738123748294e-5
RNF186,1.3762138339675152e-5
STX17,6.373840514391423e-5
ATG16L1,1.2114318573377568e-4
WIPI1,9.968499739054262e-5
ATG2B,5.587274250642964e-5
TMEM39A,3.012438883450078e-5
AMBRA1,1.1238099706388135e-4
NSFL1C,1.0256531924617289e-4
WDR45B,7.004070729874814e-5
SMURF1,1.3052338022916094e-4
TBC1D14,3.1655447995933584e-5
ELAPOR1,1.3077477828679678e-5
TP53INP2,5.846073509859688e-6
ATG101,2.0240205645186338e-5
MOAP1,3.133869446712879e-5
ATG3,1.2940528506673096e-4
PINK1,5.954921758960621e-4
ATG9A,3.367011349835891e-5
PHF23,2.8080961901449492e-5
PIP4K2C,7.212290188802433e-5
MAP1LC3B,2.3757580414629932e-5
VMP1,8.066886114836641e-5
RAB1B,1.71113967128281e-5
RAB33B,1.2017761592604632e-4
EMC6,4.2997641470257956e-5
ATG10,8.493152386440545e-5
MAP1LC3A,6.766654611624786e-5
ATG4C,3.552314481713406e-5
ATG4D,4.462613402544753e-5
ATG16L2,3.224708771806099e-5
IFT20,1.4926718369301058e-4
LRSAM1,3.830742651413166e-5
TP53INP1,1.416439956321292e-4
SNX18,2.9775997515519515e-5
ATG4A,3.556007265172572e-5
LRRK2,8.131520721827273e-4
UBXN2B,8.207903028223684e-5
SMCR8,4.264857670237311e-5
UBXN2A,3.0953250283791115e-5
PIKFYVE,1.9616358520227302e-4
C9orf72,4.647388694404993e-5
RUFY4,7.949422455960916e-6
ATG9B,3.305173074714652e-5
RAB43,3.4645927423572785e-5
STING1,1.9736157740129644e-4
IRGM,2.2751051927622653e-4
RAB19,3.247240212545992e-6
SNX30,2.4014449340535508e-5
TMEM41B,3.067417367758722e-5
MAP1LC3C,2.2178989857699432e-5
RAB1C,3.991241840221292e-6
BECN2,8.009084005044168e-5
MAP1LC3B2,1.8139953934123998e-5
ARG1,0.00033949323004934493
ARG2,4.122643727341266e-4
ASL,1.8123667040550895e-4
ASS1,2.9669802333422797e-4
CEBPA,1.216883082877893e-4
CPS1,3.193242790512772e-4
FH,1.449088251366757e-4
OTC,2.5509400566028163e-4
SLC25A15,8.932327799364793e-5
AGMAT,3.010699244183887e-4
SLC25A2,9.7564456986653e-5
NAGS,8.94248267960116e-5
ATP2B4,6.878088659045568e-4
CAD,4.146795393810118e-4
ALDH18A1,2.4634400696743933e-4
DDAH1,9.820505444991799e-5
NPM1,2.3627126850795087e-4
NUP88,2.724168210519523e-5
RAN,1.5563113203329176e-4
XPO1,5.0949853915883685e-5
RBM10,3.0079871704394306e-4
NMD3,4.01523752210658e-5
SDAD1,1.546145820725952e-5
LSG1,1.0476240958331327e-5
RIOK2,2.6691024517036527e-4
LTV1,1.8972017153608606e-5
NOP9,6.297157440998911e-5
APC,1.2364167984926794e-4
RHOA,5.11596845502544e-4
BUB1,2.1102211167645644e-4
BUB1B,6.871053121439041e-5
CCNB1,1.1757904106946415e-4
CDK1,3.954648536162998e-4
CDC20,1.730050683677766e-4
CENPC,1.4888513250638317e-4
CENPE,1.323843115357994e-4
CENPF,6.029369572447993e-5
RCC1,4.0179144318721276e-5
DUSP1,1.0359899510250797e-4
FLNA,3.193345789060726e-4
CENPI,1.7475640882254765e-5
GOLGA2,7.413778896789538e-5
HNRNPU,4.227058882562693e-4
HSPA1A,3.1534462951622957e-4
HSPA1B,1.6034949297173625e-4
IK,3.807612504708582e-5
KIF2A,1.696596946148628e-5
KIF11,2.7549009432469674e-5
KIFC1,1.1053418657302911e-5
KIF25,7.71606337165848e-5
KIF22,1.0863190621864452e-5
KPNB1,1.162654967718877e-4
MAD2L1,1.150578203890254e-4
MYBL2,2.372221708508e-5
DRG1,2.853002939222557e-5
NEK2,1.0371404478509324e-4
CHMP1A,1.2119595647529966e-4
PPP1CC,5.344762052427477e-5
PPP2R1A,1.491321755009541e-4
RAD21,1.2043870349606429e-4
RB1,3.4049756547652887e-4
TPR,2.4954083551568124e-4
TTK,3.0361580007166747e-4
TTN,1.5370849150692987e-4
TUBG1,6.353540527811691e-5
XRCC3,1.6330634711929533e-4
ZNF207,8.131093040458572e-5
AAAS,1.205021738793892e-5
SMC1A,8.639021614605768e-5
MAD1L1,2.0771818534586514e-4
CUL3,1.7532566477736588e-4
SMARCA5,2.642415138150883e-4
CDC23,4.0675010096660615e-5
RAB11A,1.8728792124311135e-4
KAT2B,3.759987988253522e-4
CDC16,3.46656368565171e-5
PRP4K,5.8541698523706116e-5
BAZ1B,1.2182879502355189e-4
SMC3,7.89685819534958e-5
ZW10,9.622199174127284e-5
BUB3,9.69062955590252e-5
TRIP13,8.146617519576517e-5
KIF3B,1.3311837305249734e-4
VPS4B,2.195870849203617e-4
MAD2L1BP,9.705195008978509e-5
ARHGEF10,2.4627382238945638e-5
ESPL1,5.209880639267373e-5
KNTC1,1.170422675932035e-4
RIPOR2,2.9814821975823627e-4
DLGAP5,5.734540746943606e-5
NCAPD2,3.81169644840533e-5
KIF14,1.9747584737707827e-4
SMC4,4.222619495619986e-5
AKAP8,3.409441319046006e-5
STAG1,3.3602934513480944e-5
KATNB1,7.035539034757146e-5
NDC80,1.6591492185094852e-4
PIBF1,1.1775571286562402e-4
DCTN2,3.5644639963817446e-5
SMC2,4.195619893494979e-5
SPAG5,4.0795789490855013e-5
NUDC,1.0619700387870076e-5
STAG2,3.415540709900668e-5
KIF2C,6.43356015361365e-5
TENT4A,1.764122542551427e-4
UBE2C,6.967660387526891e-5
ZWINT,2.864356155776127e-4
MAPRE1,2.1192310975841455e-4
TPX2,3.659505834561114e-5
WAPL,9.576762500776944e-5
CLASP2,2.652534295648021e-4
ABRAXAS2,3.236825242451608e-5
NCAPD3,4.188898576923592e-5
